document	label
꿀고구마단짝아메세트	__label__?
딸기주스	__label__딸기 주스
바나나주스	__label__바나나 주스
딸기바나나주스	__label__딸기 바나나 주스
키위주스	__label__키위 주스
토마토주스	__label__토마토 주스
오렌지주스	__label__오렌지 주스
블루베리주스	__label__블루베리 주스
망고주스	__label__망고 주스
핑크레몬 에이드	__label__핑크 레몬 에이드
블루레몬 에이드	__label__블루 레몬 에이드
청포도 에이드	__label__청포도 에이드
자몽에이드	__label__자몽 에이드
자두에이드	__label__자두 에이드
복숭아 아이스티	__label__복숭아 아이스티
홍차_얼그레이	__label__얼그레이
허브티_캐모마일	__label__캐모마일
허브티_레몬그라스	__label__레몬그라스
꿀 캐미유자차	__label__유자차
꿀 레몬그라스차	__label__꿀 레몬그라스차
꿀 블랙오미자차	__label__꿀 블랙오미자차
1리터 아이스티  (only ice)	__label__아이스티
쿠키 2종	__label__쿠키
베이글칩 2종 (허니버터 갈릭버터)	__label__베이글칩
웨하스 2종 (나폴리타너바닐라)	__label__웨하스
스투룹와플	__label__스투룹 와플
앤디스초콜릿 2종	__label__초콜릿
초코칩 머핀	__label__초코 머핀
비스킷슈 2종(바닐라초코)	__label__비스킷 슈
크림카스테라	__label__카스테라
말렌카케이크 2종(월넛코코아)	__label__캐이크
모카번	__label__모카번
머핀 2종(초코블루베리)	__label__머핀
마카롱 5종	__label__마카롱
크림치즈 프레즐	__label__프레즐
베이글+크림치즈	__label__베이글
소시지 페스츄리	__label__페스츄리
크로크무슈	__label__크로크무슈
미니 떡볶이	__label__떡볶이
치즈미니 떡볶이	__label__치즈 떡볶이
꿀고구마	__label__고구마
꿀고구마3개	__label__고구마
허니버터 꿀고구마	__label__고구마
허니치즈 꿀고구마	__label__고구마
콘마요 꿀고구마	__label__고구마
생크림와플	__label__와플
사과잼와플	__label__와플
딸기잼와플	__label__와플
블루베리잼와플	__label__와플
달달고구마와플	__label__와플
팥이동동 와플	__label__와플
누텔라콕콕와플	__label__와플
블루베리크림치즈와플	__label__와플
피넛딸기와플	__label__와플
피넛블루베리와플	__label__와플
콘체다와플	__label__와플
시나몬바게트볼	__label__시나몬 바케트 볼
스콘 2종 (건포도호두)	__label__스콘
잉글리쉬머핀	__label__머핀
브라우니	__label__브라우니
아이스크림 브라우니	__label__브라우니
플레인크로플	__label__크로플
시나몬크로플	__label__크로플
인절미크로플	__label__크로플
누텔라크로플	__label__크로플
체다치즈크로플	__label__크로플
크림치즈크로플	__label__크로플
애플시나몬크로플	__label__크로플
딸기크로플	__label__크로플
블루베리크로플	__label__크로플
초코크런치크로플	__label__크로플
티라미수크로플	__label__크로플
콘체다크로플	__label__크로플
젤라소프트	__label__아이스크림
아포가토(Only Iced)	__label__아포카토
플레인 소프트	__label__아이스크림
콘소프트 	__label__아이스크림
망고소프트 	__label__아이스크림
초코쿠키소프트	__label__아이스크림
아포가토소프트	__label__아이스크림
Hot	__label__옵션
Ice	__label__옵션
선택 없음	__label__옵션
바닐라시럽 추가	__label__옵션
샷 추가	__label__옵션
휘핑 추가	__label__옵션
코코넛 젤리 추가	__label__옵션
라떼로 변경 1잔	__label__옵션
로키로드 쿠키	__label__쿠키
오트밀레이즌 쿠키	__label__쿠키
초콜릿 청크 쿠키	__label__쿠키
허니버터 베이글칩	__label__베이글칩
갈릭버터 베이글칩	__label__베이글칩
나폴리타너 웨하스	__label__웨하스
바닐라 웨하스	__label__웨하스
민트파르페 앤디스초콜릿	__label__초콜릿
크림데민트 앤디스초콜릿	__label__초콜릿
바닐라 비스킷슈	__label__비스킷 슈
초코 비스킷슈	__label__비스킷슈
월넛 말렌카케이크	__label__케이크
코코아 말렌카케이크	__label__케이크
초코 머핀	__label__머핀
블루베리 머핀	__label__머핀
말차초코 마카롱	__label__마카롱
핑크딸기 마카롱	__label__마카롱
황치즈 마카롱	__label__마카롱
얼그레이 마카롱	__label__마카롱
초코라떼 마카롱	__label__마카롱
플레인 베이글	__label__베이글
어니언 베이글	__label__베이글
블루베리 베이글	__label__베이글
건포도 스콘	__label__스콘
호두 스콘	__label__스콘
바닐라 젤라소프트	__label__아이스크림
바닐라&초코 젤라소프트	__label__아이스크림
망고 젤라소프트	__label__아이스크림
