index,브랜드코드,브랜드명,점포번호,점포명,사업자번호,MENU_CD,MENU_FULL_NM,MENU_NM,판매가격,label
214,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000053,카스(병),카스(병),"4,000",카스
215,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000054,테라(병),테라(병),"4,000",테라
216,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000055,카프리(병),카프리(병),"4,000",카프리
217,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000056,소주(처음처럼),소주(처음처럼),"4,000",처음처럼
218,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000057,소주(참이슬 순한),소주(참이슬 순한),"4,000",참이슬 fresh
219,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000058,소주(진로이즈백),소주(진로이즈백),"4,000",진로
220,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000059,(포장할인)남순모SET,(포장할인)남순모SET,"14,900",?
221,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000060,(포장할인) 남포동과순살치킨,(포장할인) 남포동과순살치킨,"12,900",순살 치킨
222,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000061,(포장할인)할가떡튀김SET,(포장할인)할가떡튀김SET,"15,900",떡볶이 튀김 세트
223,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000062,(포장할인)어떡할가SET,(포장할인)어떡할가SET,"14,900",?
224,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000063,(포장할인)남김모SET,(포장할인)남김모SET,"14,900",?
225,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000001,특선세트10P(1인분),특선세트10P(1인분),"10,900",초밥
226,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000002,초밥세트12P(1인분),초밥세트12P(1인분),"12,900",초밥
227,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000003,초밥세트26P(2인분),초밥세트26P(2인분),"20,900",초밥
228,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000004,연어세트12P(1인분),연어세트12P(1인분),"16,900",초밥
229,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000005,스시앤롤세트22P(2인분),스시앤롤세트22P(2인분),"24,900",초밥
230,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000352,호온세트,호온세트,"10,900",초밥
231,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000006,간장새우초밥4p,간장새우초밥4p,"6,400",초밥
232,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000007,구운소고기초밥4p,구운소고기초밥4p,"6,400",초밥
233,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000008,생연어초밥4p,생연어초밥4p,"6,600",초밥
234,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000009,구운연어초밥4p,구운연어초밥4p,"6,600",초밥
235,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000010,광어초밥4p,광어초밥4p,"5,900",초밥
236,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000011,구운장어초밥4p,구운장어초밥4p,"5,900",초밥
237,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000012,초새우초밥4p,초새우초밥4p,"3,700",초밥
238,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000013,구운계란초밥4p,구운계란초밥4p,"3,700",초밥
239,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000014,구운유부초밥4p,구운유부초밥4p,"3,700",초밥
240,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000015,구운새우초밥4p,구운새우초밥4p,"4,400",초밥
241,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000016,관자초밥 4p,관자초밥 4p,"5,900",초밥
242,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000389,한치 4p,한치 4p,"3,400",초밥
243,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000390,구운게살 4p,구운게살 4p,"3,400",초밥
244,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000413,한치 4p,한치 4p,"3,700",초밥
245,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000414,구운게살 4p,구운게살 4p,"3,700",초밥
246,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000017,캘리포니아롤9p,캘리포니아롤9p,"8,900",롤
247,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000018,연어아보카도롤9p,연어아보카도롤9p,"10,900",롤
248,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000019,치킨카츠아보카도롤9p,치킨카츠아보카도롤9p,"8,900",롤
249,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000039,연어스테이크롤8p,연어스테이크롤8p,"14,900",롤
250,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000040,구운장어롤 8p,구운장어롤 8p,"14,900",롤
251,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000294,연어크림치즈아보카도롤9p,연어크림치즈아보카도롤9p,"11,900",롤
252,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000295,콤비네이션롤9p,콤비네이션롤9p,"10,900",롤
253,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000020,한개우동,한개우동,"6,000",우동
254,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000021,반개우동,반개우동,"3,000",우동
255,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000022,모듬고로케3p,모듬고로케3p,"3,000",고로케
256,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000023,새우튀김 3p,새우튀김 3p,"3,000",튀김
257,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000024,타코야끼볼 6p,타코야끼볼 6p,"3,000",타코야끼
258,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000037,등심돈까스+유부초밥,등심돈까스+유부초밥,"8,000",돈까스+초밥
259,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000038,치즈돈까스+유부초밥,치즈돈까스+유부초밥,"9,000",돈까스+초밥
260,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000384,냉모밀,냉모밀,"7,000",냉모밀
261,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000025,펩시콜라,펩시콜라,"2,000",콜라
262,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000026,칠성사이다,칠성사이다,"2,000",사이다
263,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000027,미린다파인,미린다파인,"2,000",미린다
264,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000028,밀키스,밀키스,"2,000",밀키스
265,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000029,마운틴듀 ,마운틴듀 ,"2,000",마운틴듀
266,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000030,대선 ,대선 ,"4,000",대선
267,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000031,참이슬 ,참이슬 ,"4,000",참이슬
268,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000032,좋은데이,좋은데이,"4,000",좋은데이
269,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000033,진로,진로,"4,000",진로
270,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000034,테라 ,테라 ,"4,000",테라
271,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000035,카스 ,카스 ,"4,000",카스
272,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000036,클라우드,클라우드,"4,000",클라우드
273,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000312,처음처럼,처음처럼,"4,000",처음처럼
274,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000313,스파클링,스파클링,"2,000",스파클링
275,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000350,트로피카나스파클링 오랜지,트로피카나스파클링 오랜지,"2,000",스파클링
276,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000095,연어,연어,0,옵션
277,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000096,광어,광어,0,옵션
278,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000097,장어,장어,0,옵션
279,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000098,관자,관자,0,옵션
280,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000099,소고기,소고기,0,옵션
281,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000100,초새우,초새우,0,옵션
282,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000101,간장새우,간장새우,0,옵션
283,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000102,한치,한치,0,옵션
284,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000103,대게살,대게살,0,옵션
285,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000104,계란,계란,0,옵션
286,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000105,유부,유부,0,옵션
287,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000106,진맛살(롤용),진맛살(롤용),0,옵션
288,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000107,새우튀김,새우튀김,0,옵션
289,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000108,감자고로케,감자고로케,0,옵션
290,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000109,카레고로케,카레고로케,0,옵션
291,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000110,야채고로케,야채고로케,0,옵션
292,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000111,타코야끼볼,타코야끼볼,0,옵션
293,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000112,락교,락교,0,옵션
294,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000113,생와사비,생와사비,0,옵션
295,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000114,산고추,산고추,0,옵션
296,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000115,초생강(적),초생강(적),0,옵션
297,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000116,단무지,단무지,0,옵션
298,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000117,날치알,날치알,0,옵션
299,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000118,돈카츠,돈카츠,0,옵션
300,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000119,치즈카츠,치즈카츠,0,옵션
301,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000120,치킨카츠,치킨카츠,0,옵션
302,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000121,우동면,우동면,0,옵션
303,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000122,우동쯔유,우동쯔유,0,옵션
304,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000123,우동어묵,우동어묵,0,옵션
305,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000124,가쓰오부시,가쓰오부시,0,옵션
306,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000125,돈카츠소스,돈카츠소스,0,옵션
307,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000126,타르타르소스,타르타르소스,0,옵션
308,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000127,파슬리,파슬리,0,옵션
309,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000128,초대리,초대리,0,옵션
310,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000129,데리야끼소스,데리야끼소스,0,옵션
311,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000130,스파이시소스,스파이시소스,0,옵션
312,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000131,김,김,0,옵션
313,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000132,붕어간장,붕어간장,0,옵션
314,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000133,스시4용기,스시4용기,0,drop
315,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000134,스시10용기,스시10용기,0,drop
316,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000135,스시12용기,스시12용기,0,drop
317,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000136,스시26용기,스시26용기,0,drop
318,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000137,돈까스용기,돈까스용기,0,drop
319,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000138,롤용기,롤용기,0,drop
320,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000139,우동용기,우동용기,0,drop
321,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000140,우동국물(소),우동국물(소),0,drop
322,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000141,우동국물(대),우동국물(대),0,drop
323,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000142,반찬용기,반찬용기,0,drop
324,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000143,비닐봉지(소),비닐봉지(소),0,drop
325,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000144,비닐봉지(대),비닐봉지(대),0,drop
326,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000145,나무젓가락,나무젓가락,0,drop
327,onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000146,해동지,해동지,0,drop
328,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000003,카페라떼,카페라떼,"2,800",카페라떼
329,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000005,바닐라라떼,바닐라라떼,"3,300",바닐라라떼
330,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000006,헤이즐넛아메리카노,헤이즐넛아메리카노,"3,500",헤이즐넛아메리카노
331,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000007,연유라떼,연유라떼,"3,500",연유라떼
332,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000008,카라멜 마끼아또,카라멜 마끼아또,"3,500",카라멜마끼아또
333,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000009,카페모카,카페모카,"3,500",카페모카
334,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000010,민트모카,민트모카,"4,200",민트모카
335,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000011,꿀 아메리카노,꿀 아메리카노,"2,800",꿀 아메리카노
336,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000012,꿀 카페라떼,꿀 카페라떼,"3,800",꿀 카페라떼
337,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000013,치즈크림 아메리카노(only ice),치즈크림 아메리카노(only ice),"4,000",치즈크림 아메리카노
338,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000014,치즈크림 카페라떼(only ice),치즈크림 카페라떼(only ice),"4,500",치즈크림 카페라떼
339,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000015,시럽/샷/휘핑/코코넛젤리추가,시럽/샷/휘핑/코코넛젤리추가,500,옵션
340,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000162,아메리카노,아메리카노,"1,500",아메리카노
341,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000163,1리터아메(only ice),1리터아메(only ice,"3,500",아메리카노
342,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000165,(행사)아메리카노,(행사)아메리카노,"1,000",아메리카노
343,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000173,카푸치노,카푸치노,"2,800",카푸치노
344,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000016,초코라떼,초코라떼,"3,300",초코라떼
345,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000017,녹차라떼,녹차라떼,"3,300",녹차라떼
346,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000018,밀크티,밀크티,"3,300",밀크티
347,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000019,고구마라떼,고구마라떼,"3,500",고구마라떼
348,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000020,흑임자라떼,흑임자라떼,"3,500",흑임자라떼
349,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000021,딸기라떼(only ice),딸기라떼(only ice),"3,800",딸기라떼
350,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000022,민트초코라떼,민트초코라떼,"3,800",민트초코라떼
351,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000023,이천쌀라떼(only hot),이천쌀라떼(only hot),"3,800",이천쌀라떼
352,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000024,초코버블라떼(only ice),초코버블라떼(only ice),"4,000",초코버블라떼
353,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000025,그린티버블라떼(only ice),그린티버블라떼(only ice),"4,000",그린티버블라떼
354,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000026,쿠앤크버블라떼(only ice),쿠앤크버블라떼(only ice),"4,000",쿠앤크버블라떼
355,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000027,딸기버블라떼(only ice),딸기버블라떼(only ice),"4,000",딸기버블라떼
356,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000028,흑당버블라떼(only ice),흑당버블라떼(only ice),"4,000",흑당버블라떼
357,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000384,오곡라떼,오곡라떼,"3,800",오곡라떼
358,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000029,커피 프라페,커피 프라페,"4,500",커피 프라페
359,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000030,헤이즐넛  프라페,헤이즐넛  프라페,"4,500",헤이즐넛 프라페
360,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000031,녹차 프라페,녹차 프라페,"4,500",녹차 프라페
361,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000032,민트초코칩 프라페,민트초코칩 프라페,"4,800",민트초코칩 프라페
362,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000033,자바칩 프라페,자바칩 프라페,"4,800",자바칩 프라페
363,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000034,쿠앤크 프라페,쿠앤크 프라페,"5,000",쿠앤크 프라페
364,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000035,이천쌀 프라페,이천쌀 프라페,"4,800",이천쌀 프라페
365,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000036,플레인 요거트 스무디,플레인 요거트 스무디,"3,800",플레인 요거트 스무디
366,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000037,딸기 요거트 스무디,딸기 요거트 스무디,"3,800",딸기 요거트 스무디
367,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000038,망고 요거트 스무디,망고 요거트 스무디,"3,800",망고 요거트 스무디
368,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000039,자두 요거트 스무디,자두 요거트 스무디,"3,800",자두 요거트 스무디
369,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000040,큐브수박스무디(계절),큐브수박스무디(계절),"4,500",큐브 수박 스무디
370,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000041,큐브망고스무디(계절),큐브망고스무디(계절),"4,500",큐브 망고 스무디
371,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000042,인절미 빙수치노,인절미 빙수치노,"5,000",인절미 빙수치노
372,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000043,딸기 빙수치노,딸기 빙수치노,"5,000",딸기 빙수치노
373,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000044,흑임자 빙수치노,흑임자 빙수치노,"5,000",흑임자 빙수치노
374,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000045,바닐라 코코팝,바닐라 코코팝,"4,000",바닐라 코코팝
375,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000046,딸기 코코팝,딸기 코코팝,"4,000",딸기 코코팝
376,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000047,쿠앤크 코코팝,쿠앤크 코코팝,"4,000",쿠앤크 코코팝
377,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000048,밀크 쉐이크,밀크 쉐이크,"4,200",밀크 쉐이크
378,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000049,딸기오레오 쉐이크,딸기오레오 쉐이크,"4,200",딸기오레오 쉐이크
379,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000050,오레오 쉐이크,오레오 쉐이크,"4,200",오레오 쉐이크
380,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000051,녹차오레오 쉐이크,녹차오레오 쉐이크,"4,200",녹차오레오 쉐이크
381,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000052,꿀고구마아메세트,꿀고구마아메세트,"3,500",고구마+아메리카노
382,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000053,꿀고구마라떼세트,꿀고구마라떼세트,"4,500",고구마+카페라떼
383,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000054,꿀고구마단짝아메세트,꿀고구마단짝아메세트,"8,500",?
384,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000055,딸기주스,딸기주스,"4,200",딸기 주스
385,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000056,바나나주스,바나나주스,"4,200",바나나 주스
386,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000057,딸기바나나주스,딸기바나나주스,"4,200",딸기 바나나 주스
387,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000058,키위주스,키위주스,"4,200",키위 주스
388,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000059,토마토주스,토마토주스,"4,200",토마토 주스
389,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000060,오렌지주스,오렌지주스,"4,200",오렌지 주스
390,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000061,블루베리주스,블루베리주스,"4,200",블루베리 주스
391,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000062,망고주스,망고주스,"4,500",망고 주스
392,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000063,핑크레몬 에이드,핑크레몬 에이드,"3,900",핑크 레몬 에이드
393,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000064,블루레몬 에이드,블루레몬 에이드,"3,900",블루 레몬 에이드
394,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000065,청포도 에이드,청포도 에이드,"3,900",청포도 에이드
395,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000066,자몽에이드,자몽에이드,"3,900",자몽 에이드
396,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000067,자두에이드,자두에이드,"3,900",자두 에이드
397,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000068,복숭아 아이스티,복숭아 아이스티,"2,800",복숭아 아이스티
398,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000069,홍차_얼그레이,홍차_얼그레이,"2,800",얼그레이
399,coffeemama,커피마마퀸,1024,커피마마퀸 조암점,847-87-00943,B0000070,허브티_캐모마일,허브티_캐모마일,"2,800",캐모마일
